id,value
1,Abbeville
2,Abbott
3,Abernathy
4,Abilene
5,Ackerly
6,Adamsville
7,Addison
8,Addison
9,Adelphi
10,Adrian
11,Agua Dulce
12,Akron
13,Alabaster
14,Alamo
15,Alamo Heights
16,Alba
17,Albany
18,Albany
19,Albertville
20,Aldine
21,Aledo
22,Alexander City
23,Alice
24,Aliceville
25,Allen
26,Allgood
27,Alpine
28,Alton
29,Altoona
30,Alvarado
31,Alvin
32,Amarillo
33,Ames
34,Amherst
35,Amsterdam
36,Anahuac
37,Andalusia
38,Anderson
39,Anderson
40,Andrews
41,Angleton
42,Angus
43,Anna
44,Anniston
45,Anson
46,Anton
47,Appleby
48,Aquilla
49,Arab
50,Aransas Pass
51,Archer City
52,Arcola
53,Ardmore
54,Argo
55,Argyle
56,Ariton
57,Arley
58,Arlington
59,Arp
60,Asherton
61,Ashford
62,Ashland
63,Ashville
64,Athens
65,Athens
66,Atlanta
67,Atmore
68,Attalla
69,Aubrey
70,Auburn
71,Auburn
72,Austin
73,Austwell
74,Autaugaville
75,Avon
76,Azle
77,Babbie
78,Bailey
79,Bailey's Prairie
80,Baileyton
81,Baird
82,Bakerhill
83,Balch Springs
84,Balcones Heights
85,Ballinger
86,Balmorhea
87,Bandera
88,Bangs
89,Banks
90,Bardwell
91,Barrett
92,Barry
93,Barstow
94,Bartlett
95,Bastrop
96,Batavia
97,Bay City
98,Bay Minette
99,Bayou La Batre
100,Bayou Vista
101,Baytown
102,Baytown
103,Bayview
104,Beach City
105,Beacon
106,Bear Creek
107,Beasley
108,Beatrice
109,Beaumont
110,Beaverton
111,Beckville
112,Bedford
113,Bedias
114,Bee Cave
115,Beeville
116,Belk
117,Bellaire
118,Bellevue
119,Bellmead
120,Bells
121,Bellville
122,Belton
123,Benavides
124,Benbrook
125,Benjamin
126,Benton
127,Berry
128,Bertram
129,Bessemer
130,Beverly Hills
131,Bevil Oaks
132,Big Lake
133,Big Spring
134,Big Wells
135,Billingsley
136,Binghamton
137,Birmingham
138,Bishop
139,Black
140,Blackwell
141,Blanco
142,Blanket
143,Blossom
144,Blountsville
145,Blue Mound
146,Blue Ridge
147,Blue Springs
148,Boaz
149,Boerne
150,Bogata
151,Boligee
152,Bolivar Peninsula
153,Bon Air
154,Bon Wier
155,Bonham
156,Boonville
157,Borger
158,Bovina
159,Bowie
160,Brackettville
161,Brady
162,Brantley
163,Brazoria
164,Brazos Bend
165,Brazos Country
166,Breckenridge
167,Bremond
168,Brenham
169,Brent
170,Brewton
171,Briaroaks
172,Bridge City
173,Bridgeport
174,Bridgeport
175,Brighton
176,Brilliant
177,Brookshire
178,Brookside
179,Brookside Village
180,Brookwood
181,Browndell
182,Brownfield
183,Brownsboro
184,Brownsville
185,Brownwood
186,Bruceville-Eddy
187,Brundidge
188,Bryan
189,Bryson
190,Buda
191,Buffalo
192,Buffalo
193,Bullard
194,Bulverde
195,Bulverde
196,Bunker Hill Village
197,Burkburnett
198,Burke
199,Burleson
200,Burnet
201,Butler
202,Byers
203,Cactus
204,Caddo Mills
205,Caldwell
206,Calera
207,Callisburg
208,Calvert
209,Camden
210,Cameron
211,Camp Hill
212,Camp Wood
213,Campbell
214,Canadian
215,Canandaigua
216,Canton
217,Canyon
218,Carbon Hill
219,Cardiff
220,Carl's Corner
221,Carmine
222,Carolina
223,Carrizo Springs
224,Carrollton
225,Carrollton
226,Carthage
227,Cashion Community
228,Castle Hills
229,Castleberry
230,Castroville
231,Cedar Bluff
232,Cedar Hill
233,Cedar Park
234,Celeste
235,Center
236,Center Point
237,Centerville
238,Centre
239,Centreville
240,Chandler
241,Channelview
242,Channing
243,Chapel Hill
244,Charlotte
245,Chatom
246,Chelsea
247,Cherokee
248,Chester
249,Chickasaw
250,Chico
251,Childersburg
252,Childress
253,Chillicothe
254,Chilton
255,China
256,China Grove
257,Chireno
258,Chocolate Bayou
259,Christoval
260,Cibolo
261,Cisco
262,Cistern
263,Citronelle
264,Clanton
265,Clarendon
266,Clarksville
267,Clarksville City
268,Claude
269,Clay
270,Clayhatchee
271,Clayton
272,Clear Lake
273,Clear Lake Shores
274,Cleburne
275,Cleveland
276,Cleveland
277,Clifton
278,Clint
279,Clio
280,Clute
281,Clyde
282,Coaling
283,Cockrell Hill
284,Coffee City
285,Coffee Springs
286,Coffeeville
287,Cohoes
288,Coke County
